Unicode	Character	Glyph name	Character name
037E	&#x037E;	uni037E	GREEK QUESTION MARK
0384	&#x0384;	tonos	GREEK TONOS
0385	&#x0385;	dieresistonos	GREEK DIALYTIKA TONOS
0386	&#x0386;	Alphatonos	GREEK CAPITAL LETTER ALPHA WITH TONOS
0387	&#x0387;	anoteleia	GREEK ANO TELEIA
0388	&#x0388;	Epsilontonos	GREEK CAPITAL LETTER EPSILON WITH TONOS
0389	&#x0389;	Etatonos	GREEK CAPITAL LETTER ETA WITH TONOS
038A	&#x038A;	Iotatonos	GREEK CAPITAL LETTER IOTA WITH TONOS
038C	&#x038C;	Omicrontonos	GREEK CAPITAL LETTER OMICRON WITH TONOS
038E	&#x038E;	Upsilontonos	GREEK CAPITAL LETTER UPSILON WITH TONOS
038F	&#x038F;	Omegatonos	GREEK CAPITAL LETTER OMEGA WITH TONOS
0390	&#x0390;	iotadieresistonos	GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
0391	&#x0391;	Alpha	GREEK CAPITAL LETTER ALPHA
0392	&#x0392;	Beta	GREEK CAPITAL LETTER BETA
0393	&#x0393;	Gamma	GREEK CAPITAL LETTER GAMMA
0394	&#x0394;	uni0394	GREEK CAPITAL LETTER DELTA
0395	&#x0395;	Epsilon	GREEK CAPITAL LETTER EPSILON
0396	&#x0396;	Zeta	GREEK CAPITAL LETTER ZETA
0397	&#x0397;	Eta	GREEK CAPITAL LETTER ETA
0398	&#x0398;	Theta	GREEK CAPITAL LETTER THETA
0399	&#x0399;	Iota	GREEK CAPITAL LETTER IOTA
039A	&#x039A;	Kappa	GREEK CAPITAL LETTER KAPPA
039B	&#x039B;	Lambda	GREEK CAPITAL LETTER LAMDA
039C	&#x039C;	Mu	GREEK CAPITAL LETTER MU
039D	&#x039D;	Nu	GREEK CAPITAL LETTER NU
039E	&#x039E;	Xi	GREEK CAPITAL LETTER XI
039F	&#x039F;	Omicron	GREEK CAPITAL LETTER OMICRON
03A0	&#x03A0;	Pi	GREEK CAPITAL LETTER PI
03A1	&#x03A1;	Rho	GREEK CAPITAL LETTER RHO
03A3	&#x03A3;	Sigma	GREEK CAPITAL LETTER SIGMA
03A4	&#x03A4;	Tau	GREEK CAPITAL LETTER TAU
03A5	&#x03A5;	Upsilon	GREEK CAPITAL LETTER UPSILON
03A6	&#x03A6;	Phi	GREEK CAPITAL LETTER PHI
03A7	&#x03A7;	Chi	GREEK CAPITAL LETTER CHI
03A8	&#x03A8;	Psi	GREEK CAPITAL LETTER PSI
03A9	&#x03A9;	uni03A9	GREEK CAPITAL LETTER OMEGA
03AA	&#x03AA;	Iotadieresis	GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
03AB	&#x03AB;	Upsilondieresis	GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
03AC	&#x03AC;	alphatonos	GREEK SMALL LETTER ALPHA WITH TONOS
03AD	&#x03AD;	epsilontonos	GREEK SMALL LETTER EPSILON WITH TONOS
03AE	&#x03AE;	etatonos	GREEK SMALL LETTER ETA WITH TONOS
03AF	&#x03AF;	iotatonos	GREEK SMALL LETTER IOTA WITH TONOS
03B0	&#x03B0;	upsilondieresistonos	GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
03B1	&#x03B1;	alpha	GREEK SMALL LETTER ALPHA
03B2	&#x03B2;	beta	GREEK SMALL LETTER BETA
03B3	&#x03B3;	gamma	GREEK SMALL LETTER GAMMA
03B4	&#x03B4;	delta	GREEK SMALL LETTER DELTA
03B5	&#x03B5;	epsilon	GREEK SMALL LETTER EPSILON
03B6	&#x03B6;	zeta	GREEK SMALL LETTER ZETA
03B7	&#x03B7;	eta	GREEK SMALL LETTER ETA
03B8	&#x03B8;	theta	GREEK SMALL LETTER THETA
03B9	&#x03B9;	iota	GREEK SMALL LETTER IOTA
03BA	&#x03BA;	kappa	GREEK SMALL LETTER KAPPA
03BB	&#x03BB;	lambda	GREEK SMALL LETTER LAMDA
03BC	&#x03BC;	uni03BC	GREEK SMALL LETTER MU
03BD	&#x03BD;	nu	GREEK SMALL LETTER NU
03BE	&#x03BE;	xi	GREEK SMALL LETTER XI
03BF	&#x03BF;	omicron	GREEK SMALL LETTER OMICRON
03C0	&#x03C0;	pi	GREEK SMALL LETTER PI
03C1	&#x03C1;	rho	GREEK SMALL LETTER RHO
03C2	&#x03C2;	uni03C2	GREEK SMALL LETTER FINAL SIGMA
03C3	&#x03C3;	sigma	GREEK SMALL LETTER SIGMA
03C4	&#x03C4;	tau	GREEK SMALL LETTER TAU
03C5	&#x03C5;	upsilon	GREEK SMALL LETTER UPSILON
03C6	&#x03C6;	phi	GREEK SMALL LETTER PHI
03C7	&#x03C7;	chi	GREEK SMALL LETTER CHI
03C8	&#x03C8;	psi	GREEK SMALL LETTER PSI
03C9	&#x03C9;	omega	GREEK SMALL LETTER OMEGA
03CA	&#x03CA;	iotadieresis	GREEK SMALL LETTER IOTA WITH DIALYTIKA
03CB	&#x03CB;	upsilondieresis	GREEK SMALL LETTER UPSILON WITH DIALYTIKA
03CC	&#x03CC;	omicrontonos	GREEK SMALL LETTER OMICRON WITH TONOS
03CD	&#x03CD;	upsilontonos	GREEK SMALL LETTER UPSILON WITH TONOS
03CE	&#x03CE;	omegatonos	GREEK SMALL LETTER OMEGA WITH TONOS
